iter	RMSE
0	2591.73819
1	2563.335771
2	2538.309711
3	2522.387341
4	2513.623827
5	2500.373444
6	2476.836831
7	2466.317992
8	2441.417941
9	2421.08569
10	2398.994286
11	2368.532393
12	2359.027171
13	2341.247643
14	2323.348593
15	2302.587967
16	2293.616133
17	2277.253877
18	2263.84714
19	2250.447975
20	2235.07685
21	2216.438902
22	2193.562843
23	2178.609497
24	2171.66261
25	2166.059329
26	2156.321997
27	2142.39629
28	2124.928034
29	2107.722898
30	2093.28947
31	2085.480009
32	2061.804852
33	2054.821921
34	2043.916349
35	2030.605271
36	2017.722187
37	2004.476654
38	1988.622758
39	1979.859257
40	1972.606037
41	1961.429187
42	1949.636557
43	1935.440444
44	1919.190183
45	1907.416697
46	1901.002615
47	1890.677831
48	1876.414912
49	1868.396886
50	1851.309723
51	1840.003109
52	1833.840647
53	1830.334375
54	1817.604192
55	1800.418658
56	1784.449973
57	1769.859987
58	1761.911016
59	1751.218972
60	1743.061508
61	1735.021045
62	1730.553446
63	1715.223026
64	1709.102383
65	1704.574706
66	1696.987946
67	1676.582361
68	1669.316087
69	1659.918791
70	1652.684656
71	1640.160875
72	1625.18382
73	1616.585654
74	1609.693501
75	1600.254422
76	1594.094795
77	1585.556583
78	1576.104737
79	1562.200262
80	1547.735752
81	1541.641852
82	1528.842342
83	1524.240179
84	1513.247957
85	1503.871526
86	1492.876681
87	1490.65964
88	1482.089521
89	1473.156325
90	1463.745031
91	1457.177229
92	1448.575733
93	1443.413854
94	1437.339077
95	1429.215508
96	1421.354287
97	1411.706711
98	1402.141542
99	1393.148388
100	1387.375092
101	1382.623855
102	1374.801168
103	1370.755955
104	1366.530144
105	1358.876031
106	1354.787748
107	1348.616988
108	1340.257814
109	1332.017757
110	1317.041442
111	1298.821397
112	1293.378792
113	1286.765081
114	1283.18047
115	1277.135003
116	1273.187064
117	1269.408352
118	1265.623123
119	1257.868193
120	1251.367833
121	1247.741187
122	1230.881007
123	1227.363733
124	1221.554035
125	1217.398971
126	1209.676705
127	1202.814678
128	1186.803534
129	1183.555686
130	1175.786561
131	1172.537982
132	1167.062055
133	1156.672822
134	1153.580524
135	1150.561998
136	1146.046464
137	1131.270933
138	1128.37697
139	1125.552642
140	1122.766184
141	1120.065014
142	1117.428518
143	1114.815681
144	1111.138827
145	1108.633546
146	1094.578151
147	1092.168332
148	1079.783835
149	1077.397993
150	1074.109936
151	1071.823531
152	1069.620238
153	1064.133199
154	1052.321776
155	1045.476529
156	1038.816014
157	1036.609336
158	1033.573489
159	1031.459145
160	1026.496656
161	1023.585513
162	1018.691137
163	1013.904192
164	1011.854953
165	1009.856246
166	1003.128368
167	996.9556573
168	987.4607542
169	984.6892504
170	978.6778579
171	972.7843384
172	966.6673845
173	964.7008103
174	959.0696052
175	953.4884069
176	946.9935541
177	942.9169291
178	939.9846656
179	935.7448923
180	931.9098708
181	930.093182
182	924.6810226
183	922.8977978
184	921.1590302
185	915.7512001
186	909.7932466
187	904.4839463
188	898.5860753
189	893.4569282
190	887.7104915
191	882.7003557
192	877.358093
193	871.8412766
194	866.9167214
195	861.537521
196	857.5757047
197	852.3679043
198	848.5084986
199	843.4806968
200	838.4028751
201	833.4598096
202	827.7605991
203	823.9280585
204	820.1759475
205	815.2910607
206	811.588769
207	806.8034398
208	801.4215576
209	797.8393934
210	793.6298178
211	789.5229711
212	784.267668
213	780.230197
214	775.0607855
215	771.0913389
216	766.0064068
217	762.103686
218	757.1018663
219	753.2646216
220	748.3445889
221	743.5334095
222	739.732114
223	734.9993581
224	731.2620545
225	726.6065301
226	722.9320619
227	718.3526063
228	714.7398544
229	710.2353322
230	706.6832125
231	702.2525141
232	698.7599754
233	694.4020148
234	690.9680365
235	686.6817505
236	682.4906033
237	679.0897177
238	674.1140009
239	670.7651049
240	666.7029638
241	663.4105677
242	658.5929246
243	655.3141492
244	652.0569342
245	648.8773954
246	644.181787
247	640.997165
248	637.8860821
249	634.7260145
250	631.6409605
251	628.6290957
252	624.0722701
253	620.9412868
254	618.0608868
255	615.0629751
256	612.1360684
257	609.2784525
258	604.8605679
259	602.0193501
260	599.1924083
261	596.4322717
262	592.8002669
263	588.5644913
264	585.6924786
265	583.0598261
266	581.1184673
267	578.4445816
268	575.889488
269	573.9719405
270	571.3105298
271	567.9555859
272	564.6531049
273	561.3672586
274	558.155507
275	555.0162643
276	551.7903927
277	548.7151007
278	545.7091972
279	542.562966
280	539.6177627
281	536.7389932
282	533.9252433
283	530.8479643
284	528.0905254
285	524.71141
286	522.0734327
287	519.2953383
288	516.0460793
289	513.4237343
290	510.6807073
291	508.185255
292	505.6597359
293	502.9617325
294	500.3338555
295	497.2690197
296	494.8231833
297	492.6496132
298	490.2030958
299	487.5842619
300	485.1944543
301	482.3995578
302	477.856477
303	475.5305694
304	473.6172438
305	472.3059427
306	469.848944
307	467.8232333
308	465.4224923
309	463.1630902
310	460.5999375
311	456.3525211
312	455.0853751
313	453.1526023
314	450.867843
315	448.6933268
316	444.5876188
317	443.7149199
318	442.5006489
319	440.2904498
320	436.3366793
321	435.146825
322	434.3105341
323	430.4835381
324	429.6624743
325	425.424005
326	424.2610295
327	423.4550292
328	422.6692567
329	418.5455743
330	417.7705415
331	414.2417703
332	413.1080502
333	412.3504778
334	410.592815
335	408.599082
336	406.9088388
337	405.8252047
338	402.3572972
339	401.1825243
340	400.1282851
341	396.7734867
342	395.6219978
343	394.5963357
344	391.3506555
345	390.3503265
346	389.2240974
347	385.6082145
348	384.5185964
349	381.0482447
350	377.7087989
351	375.6003951
352	373.5505013
353	371.3098499
354	369.1298563
355	367.0087587
356	364.9448556
357	362.9365029
358	361.3201007
359	359.3580781
360	357.7710269
361	355.8538808
362	354.2953987
363	352.7723376
364	349.2698146
365	345.8846217
366	342.612925
367	341.358975
368	338.2036631
369	336.9948339
370	334.5647143
371	333.5742802
372	331.2128486
373	330.0292272
374	329.0632842
375	328.1219102
376	326.6721619
377	324.4121973
378	323.0202515
379	321.3623858
380	318.9125891
381	317.5674369
382	315.4571322
383	313.832488
384	312.2452268
385	311.3722447
386	310.068877
387	308.5176318
388	306.47129
389	304.9508952
390	303.4656022
391	302.8823545
392	301.6163788
393	299.9898878
394	298.5280755
395	297.0999543
396	294.7745801
397	293.3767674
398	292.0117709
399	290.0414587
400	289.477826
401	287.5652798
402	286.8257271
403	286.2789942
404	285.5619658
405	284.3627236
406	283.6601714
407	282.3029764
408	281.6131235
409	280.4321607
410	279.7560968
411	278.4167133
412	277.2562015
413	276.5897482
414	275.9389887
415	274.448805
416	273.1261514
417	272.4879197
418	271.1921491
419	270.5654024
420	269.4299947
421	268.8156545
422	267.5371492
423	266.1040794
424	265.5014485
425	264.2478263
426	263.6560745
427	261.5247142
428	260.1225207
429	258.9869428
430	257.6146933
431	256.4127988
432	255.3099634
433	254.2167512
434	253.1356257
435	251.134425
436	249.7966868
437	248.7461905
438	247.4365261
439	246.3043932
440	244.3939701
441	243.1103831
442	242.5139254
443	241.4192404
444	240.1723981
445	239.1008516
446	238.523066
447	237.3111417
448	236.262159
449	234.9448648
450	233.9524639
451	233.3965675
452	232.4053602
453	231.8618452
454	230.0662643
455	228.9146084
456	227.9026832
457	226.6472654
458	225.5149697
459	224.2829508
460	223.0826014
461	221.9621699
462	220.7839918
463	219.8501476
464	219.3449773
465	218.4323298
466	216.7812079
467	216.2910575
468	215.5564431
469	213.9696468
470	213.2993654
471	212.2276132
472	211.1839549
473	210.075126
474	208.9947111
475	207.9626746
476	206.9021867
477	205.3978467
478	204.7399103
479	203.7144325
480	202.7068458
481	201.2791917
482	200.3158993
483	199.3317156
484	198.9163888
485	198.5119707
486	197.6667999
487	197.0849593
488	195.7721485
489	195.3893758
490	195.0165386
491	194.1879109
492	193.6459814
493	192.8355123
494	191.5897724
495	191.0751435
496	190.2808469
497	189.931813
498	188.6931401
499	188.3526825
