iter	Passed	Remaining
0	1	809
1	2	608
2	3	510
3	3	437
4	4	397
5	4	367
6	4	342
7	5	328
8	5	325
9	6	316
10	6	307
11	7	303
12	8	306
13	8	311
14	9	307
15	10	303
16	10	295
17	10	291
18	11	287
19	11	286
20	12	280
21	12	276
22	13	279
23	14	277
24	14	275
25	14	270
26	15	269
27	15	266
28	16	266
29	17	268
30	17	266
31	18	267
32	18	266
33	19	263
34	19	262
35	20	261
36	20	260
37	21	259
38	22	261
39	23	264
40	23	265
41	24	266
42	24	265
43	25	264
44	26	265
45	26	264
46	27	263
47	27	262
48	28	262
49	29	261
50	29	260
51	30	261
52	30	261
53	31	261
54	32	261
55	33	261
56	33	261
57	34	260
58	34	260
59	35	260
60	36	259
61	36	260
62	37	260
63	38	259
64	38	259
65	39	260
66	40	259
67	41	261
68	41	260
69	42	262
70	43	261
71	43	261
72	44	260
73	45	260
74	45	259
75	46	259
76	47	259
77	47	258
78	48	259
79	49	258
80	49	258
81	50	258
82	51	258
83	52	258
84	52	257
85	53	256
86	53	256
87	54	254
88	54	253
89	55	253
90	56	253
91	56	252
92	57	252
93	58	252
94	59	251
95	59	251
96	60	250
97	61	250
98	61	249
99	62	248
100	62	248
101	63	248
102	64	247
103	65	249
104	66	250
105	67	249
106	67	249
107	68	248
108	68	247
109	69	246
110	70	246
111	71	246
112	71	245
113	72	245
114	72	244
115	73	243
116	74	243
117	74	242
118	75	242
119	76	241
120	76	240
121	77	239
122	78	239
123	78	238
124	79	237
125	80	238
126	80	237
127	81	236
128	82	236
129	82	235
130	83	235
131	84	234
132	84	234
133	85	233
134	85	232
135	86	231
136	87	230
137	87	230
138	88	229
139	89	229
140	89	228
141	90	227
142	90	227
143	91	226
144	92	225
145	92	225
146	93	225
147	94	224
148	95	223
149	95	223
150	96	222
151	96	221
152	97	220
153	98	220
154	98	219
155	99	219
156	99	218
157	100	217
158	100	216
159	101	216
160	102	215
161	102	214
162	103	213
163	103	212
164	104	211
165	104	211
166	105	210
167	105	209
168	106	208
169	107	207
170	107	207
171	108	206
172	108	205
173	109	204
174	109	203
175	110	203
